record_id,state,county,municipality,jurisdiction_level,record_type,project_or_policy_name,technology,policy_mechanism,opposition_type,adopted_or_event_date_text,status,project_capacity_mw,project_area_acres,has_litigation,short_description,long_description,extraction_source_section,notes
REC-0144,KY,Fleming County (Mason County),Flemingsburg,local,contested_project,Flemingsburg Wind Project,wind,,"local_residents, organized_group",2014-05,cancelled,,,,Duke Energy Renewables announced its intent to discontinue pursuing the construction of a wind farm in Mason and Fleming Counties due to local opposition.,"In May 2014, Duke Energy Renewables announced its intent to discontinue pursuing the construction of a wind farm in Mason and Fleming Counties. The project, which would have included 26 to 100 wind turbines, had encountered local opposition, and the developer explained in a letter that it concluded the project had little chance of success.",contested_projects,
REC-0145,KY,Clark County,,local,contested_project,Geenex Solar Project,solar,,"organized_group, local_residents",2021-08,cancelled,,,yes,"Clark County Fiscal Court denied two ordinances that would have expanded the places solar farms could be zoned in the county, leading to a victory for an anti-solar community group.","In August 2021, amidst Geenex Solar’s early planning of a large-scale solar project in Clark County, the Clark County Fiscal Court denied two ordinances that would have expanded the places solar farms could be zoned in the county. The Clark CoaliDon, an anti-solar community group, celebrated the decision as a victory.",contested_projects,
REC-0146,KY,Hardin County,,local,contested_project,Hardin Solar LLC Project,solar,,"local_residents, organized_group",2022-01,cancelled,,,yes,"Hardin County Planning Commission denied a conditional use permit for Hardin Solar LLC, with almost 200 residents attending the commission meeting and many belonging to Hardin County Citizens for Responsible Solar.","In January 2022, the Hardin County Planning Commission denied a conditional use permit for Hardin Solar LLC. Almost 200 Hardin County residents attended the commission meeting, many of them belonging to Hardin County CiDzens for Responsible Solar. This group is opposed to industrial solar projects and has claimed credit for the denial of Hardin Solar’s permit.",contested_projects,
REC-0147,KY,Madison County,,local,contested_project,Madison County Solar Farm,solar,,"local_residents, organized_group",2020-12 or 2021-01,approved_after_opposition,100,1100,,"Local residents collected signatures opposing a 100-MW, 1,100-acre solar farm in Madison County on the grounds that it would be an eyesore and harm property values.","Local residents collected 387 signatures for a petition opposing a 100-MW, 1,100-acre solar farm in Madison County on the grounds that it would be an eyesore and harm property values. However, in December 2020 or January 2021, the Madison County Board of Adjustments approved the project.",contested_projects,
REC-0148,KY,Mason County,,local,contested_project,NextEra’s Mason County Wind Energy Project,wind,,"local_residents, organized_group",2014-05,cancelled,,,,"NextEra Energy Resources announced it was abandoning research on a potential wind project in Mason County due to state restrictions and anticipated local restrictions, including increased setbacks.","In May 2014, NextEra Energy Resources submitted a letter to Mason County officials announcing that it was abandoning research on a potential wind project in the county due to state restrictions and anticipated local restrictions, including increased setbacks.",contested_projects,
REC-0149,KY,Mercer County,,local,contested_project,Savion’s Mercer County Solar Farm,solar,,"organized_group, local_residents",2020-10,cancelled,,1200,yes,"Mercer County Fiscal Court denied approval for a 1,200-acre solar project proposed by Savion, overriding the recommendation of the county’s planning and zoning commission.","In October 2020, the Mercer County Fiscal Court denied approval for a 1,200-acre solar project proposed by Savion, overriding the recommendaDon of the county’s planning and zoning commission. Opponents organized against the project on a Facebook group called “Preserve Mercer County Farm Land” and spoke at a public meeting in August 2020.",contested_projects,
REC-0150,KY,Hardin County,,local,contested_project,Stonefield Solar Project,solar,,"local_residents, organized_group",2023-05,pending,,1030,yes,"Hardin County Commission denied a request to change the zoning of 1,030 acres from rural residential to industrial for the development of the Stonefield Solar Project. A lawsuit was filed challenging the permitting of the solar project in a heavy industrial zone.","In May 2023, the Hardin County Commission denied a request by participating landowners to change the zoning of 1,030 acres from rural residential to industrial to allow for the development of the Stonfield Solar Project. The Harden Fiscal Court eventually approved the zoning change in July 2023. Later that month, a citizen’s group called Hardin County Citizens for Responsible Solar filed a lawsuit challenging the permitting of the solar project in a heavy industrial zone, arguing that the project does not qualify as manufacturing and is at odds with the Hardin County Comprehensive Plan.",contested_projects,
REC-0151,LA,Jefferson Davis Parish,,local,local_restriction,January 2020 ordinance,wind,ban/prohibition,,January 2020,in_force,,,,A January 2020 ordinance prohibits wind turbines within 3 miles of any business or residence in unincorporated areas of Jefferson Davis Parish.,"Under a January 2020 ordinance, no wind turbine may be installed within 3 miles of any business or residence in the unincorporated areas of Jefferson Davis Parish. The ordinance was enacted to address local concerns about visual impacts and other issues.",local_restrictions,
REC-0152,LA,St. James Parish,,local,local_restriction,August 2022 moratorium,solar,moratorium,"local_residents, organized_group","August 17, 2022",pending,,"3,900 acres",yes,A moratorium on commercial solar farms was approved in August 2022 by the St. James Parish Council.,"On August 17, 2022, the St. James Parish Council approved a moratorium through March 2023 on commercial solar farms. The moratorium was imposed shortly after D.E. Shaw Renewable Investments submitted a proposal to build a solar farm on 3,900 acres in the parish, which the planning commission rejected. Local residents advocating for the moratorium expressed concerns about visual impacts.",local_restrictions,
REC-0153,LA,Washington Parish,,local,local_restriction,April 2022 regulations,solar,"setback, zoning_restriction",,March 2021 - April 2022,in_force,,,,A moratorium on solar farms was established in March 2021 and extended until new regulations were passed in April 2022.,"In March 2021, Washington Parish established a moratorium on solar farms as it sought to develop a regulatory ordinance. The moratorium was extended several times, until the Washington Parish Council passed new regulations on solar projects in April 2022.",local_restrictions,
REC-0154,LA,Calcasieu Parish,,local,contested_project,Cajun Crescent Energy Center,solar,,"local_residents, organized_group","September 2021 - November 19, 2024",pending,300 to 400 MW,"3,400 acres",yes,A lawsuit was filed against the Calcasieu Parish zoning board and police jury in September 2021 over a proposed solar farm.,"In September 2021, local residents of Southeast Calcasieu Parish filed a lawsuit against the parish zoning board and police jury to contest the approval of a 3,400-acre solar farm that would generate 300 to 400 MW. Opponents of the project stated that they have not received sufficient guarantees as to human health and safety, as well as impacts on birds and other wildlife. On November 19, 2024, the Calcasieu Planning and Zoning Board rejected a zoning exception necessary for construction to proceed.",contested_projects,
REC-0155,LA,St. James Parish,,local,contested_project,St. James Solar,solar,,"local_residents, organized_group","June 2024 - November 19, 2024",pending,360 MW,"2,200 acres",no,A land use permit for a proposed solar farm was denied by the St. James Parish Council in June 2024.,"In June 2024, after more than 2.5 hours of comments at a public meeting, the St. James Parish Council denied by 4-3 vote a land use permit for St. James Solar, a 2,200-acre, 360-MW solar farm proposed by D.E. Shaw Renewable Investments (DESRI). The Council’s denial followed the St. James Parish Planning Commission’s 8-1 rejection of the project in April 2024. DESRI had agreed to offer a $4.67 million community benefits package and stated that the solar farm would have extensive buffers, fencing, and screening such that it would be virtually invisible and noiseless to passerby. The project, however, would have required a special exception from the agricultural and residential land use designations in the land use plan, which prohibit solar farms, and that exception was denied.",contested_projects,
REC-0156,LA,Iberville Parish,,local,contested_project,White Castle Solar Farm,solar,,"local_residents, organized_group",September 2023 - present,pending,,"2,057 acres",,A proposed solar farm faces opposition from residents citing concerns about property devaluation and loss of farmland.,"Developer NextEra has proposed a 2,057-acre solar project in Iberville and Pointe Coupee Parishes. Pointe Coupee Parish residents have generally not opposed the project, but a contingent in Iberville Parish has stood in strong opposition to it. Citing concerns about devalued property, loss of farmland, and impacts to the parishes’ rural atmosphere, project opponents held up signs saying “no solar” and “you’re not wanted here” at a September 2023 parish meeting. Parish President Mitchell Ourso voiced his opposition to the project, saying, ‘I cannot support this project here in our parish. . . . Before there was industry in our parish, everything was agriculture. This has no economic impact, and I think it can be detrimental for years to come in White Castle.’",contested_projects,
REC-0157,ME,,,state,state_restriction,L.D. 1619,"wind, solar","ban/prohibition, moratorium",,July 2021,in_force,,,,"Governor Janet Mills signed L.D. 1619, which banned offshore wind projects in Maine state waters and imposed a moratorium on large-scale solar projects.","In July 2021, Governor Janet Mills signed into law L.D. 1619, sponsored by Senator Mark Lawrence. The law permanently banned the development of all offshore wind projects in Maine state waters but allowed the permitting of offshore wind in federal waters if the Governor’s Energy Office developed a planned research strategy for such projects by March 2023. It also created the Offshore Wind Research Consortium (ORWC) to study the effects of offshore wind energy on the Gulf of Maine.",state_level_restrictions,
REC-0158,ME,Kennebec,Augusta,local,local_restriction,,solar,moratorium,,August 2021,in_force,,,,City Council imposed a moratorium for up to 180 days on solar projects due to aesthetic concerns.,"In August 2021, after residents voiced aesthetic concerns about utility-scale solar projects, the City Council of Augusta (Kennebec County) imposed a moratorium for up to 180 days on solar projects.",local_restrictions,
REC-0159,ME,Penobscot,Brewer,local,local_restriction,,solar,moratorium,,August 2023,in_force,,,,City Council adopted a 6-month moratorium on large-scale solar projects.,"In August 2023, the Brewer city council (Penobscot County) adopted a 6-month moratorium on large-scale solar projects.",local_restrictions,
REC-0160,ME,Hancock,Ellsworth,local,local_restriction,,solar,moratorium,,"October 18, 2021",in_force,,,,City Council enacted a 6-month moratorium on solar development due to concerns about overdevelopment.,"On October 18, 2021, citing concerns about overdevelopment, the Ellsworth City Council (Hancock County) enacted a 6-month moratorium on solar development. The moratorium was ultimately extended until October 13, 2022.",local_restrictions,
REC-0161,ME,Kennebec,Albion,local,local_restriction,,"solar, transmission","moratorium, setback",,"March 2023, August 2023",in_force,,,,Residents voted to adopt a new ordinance requiring solar projects to be set back 300 feet and impose a moratorium on utility lines.,"In March 2023, residents of the town of Albion (Kennebec County) voted at a Town Meeting to adopt a new ordinance that requires solar projects to be set back 300 feet from roads or residential buildings. In August 2023, Albion residents voted to impose a 6-month moratorium on utility lines and corridors in response to the Aroostook Renewable Gateway Project.",local_restrictions,
REC-0162,ME,Somerset,Athens,local,local_restriction,,solar,moratorium,,March 2024,in_force,,,,Town passed a 180-day moratorium on large-scale solar facilities due to water contamination and wildlife concerns.,"In March 2024, the Town of Athens (Somerset County) passed a 180-day moratorium on large-scale solar facilities, citing potential for water contamination as well as wildlife concerns.",local_restrictions,
REC-0163,ME,Penobscot,Belgrade,local,local_restriction,,"wind, solar",moratorium,,August 2020 (extended multiple times),in_force,,,,Town extended a moratorium on wind and solar projects to draft new ordinances.,"A moratorium on wind and solar projects that went into effect in August 2020 was extended multiple times as the town developed new ordinances for wind and solar energy. Under the new solar ordinance adopted in November 2022, no more than 10 acres of wooded land may be cleared for a solar project, and solar arrays must not exceed 12 feet in height.",local_restrictions,
REC-0164,ME,Penobscot,Corinth,local,local_restriction,,solar,moratorium,,March 2022,in_force,,,,Town imposed a 180-day moratorium on commercial solar projects.,"In March 2022, the Town of Corinth (Penobscot County) imposed a 180-day moratorium on commercial solar projects.",local_restrictions,
REC-0165,ME,Washington,Cutler,local,local_restriction,,solar,moratorium,,February 2024 (extended until August 2025),in_force,,,,Town imposed a moratorium on solar facilities to draft amendments to its Land Use Ordinance.,"In February 2024, the Town of Cutler (Washington County) imposed a moratorium on solar facilities, citing additional time to draft amendments to its Land Use Ordinance to accommodate solar facilities. The moratorium was extended until August 2025.",local_restrictions,
REC-0166,ME,Penobscot,Dexter,local,local_restriction,,solar,moratorium,,May 2024,in_force,,,,Town Council passed a 180-day moratorium on commercial solar arrays.,"In May 2024, the Town Council of Dexter (Penobscot County) passed a 180-day moratorium on commercial solar arrays.",local_restrictions,
REC-0167,ME,Oxford,Dixfield,local,local_restriction,,wind,setback,,September 2015,in_force,,,,Town Council passed a wind ordinance requiring setbacks from non-participating residences.,"In September 2015, the Fort Fairfield Town Council (Aroostook County) passed a wind ordinance requiring a 1-mile setback from all non-participating properties.",local_restrictions,
REC-0168,ME,Penobscot,Freedom,local,local_restriction,,wind,"setback, noise_limit, shadow_flicker_limit",,November 2015,in_force,,,,Town enacted a wind turbine ordinance with setback and noise limits.,"In November 2015, the Town of Freedom (Waldo County) enacted a wind turbine ordinance that requires all wind turbines to be set back from scenic or special resources. Depending on the height and megawatt capacity of the turbine, it must be set back either 1.5 times, 3 times, or 13 times the turbine height from non-participating landowners. Shadow flicker is limited to ten hours per year, and noise is limited to between 30 and 40 dBa.",local_restrictions,
REC-0169,ME,Penobscot,Glenburn,local,local_restriction,,solar,"moratorium, setback",,April 2021 (extended in March 2022),in_force,,,,Town imposed a moratorium on commercial solar facilities and banned larger projects.,"In April 2021, the Town of Glenburn (Penobscot County) imposed a 2-month moratorium on commercial solar facilities. Then, in March 2022, Glenburn banned solar facilities larger than 15,000 square feet.",local_restrictions,
REC-0170,ME,Androscoggin,Greene,local,local_restriction,,solar,setback,,November 2024,in_force,,,,"Town adopted an amendment limiting the size of solar projects to 15 acres, effectively killing a proposed project.","In November 2024, the Town of Greene (Androscoggin County) voted overwhelmingly to adopt an amendment limiting the size of any solar project to 15 acres. This amendment effectively killed a 600-acre solar project proposed by Swift Current Energy.",local_restrictions,
REC-0171,MD,,,state,state_restriction,,solar,,,2019,unknown,,,,,Maryland’s highest court held in 2019 that state law preempts local zoning authority approval for the siting and local of generating stations such as solar energy generating systems.,state_level_restrictions,date approximate
REC-0172,MD,Allegany,,local,local_restriction,,wind,setback,,2019,in_force,,,,"Allegany County requires wind turbines to be set back 2,000 feet from residences and 5,000 feet from schools.","The Allegany County ordinance mandates a setback of 2,000 feet for wind turbines from residences and 5,000 feet from schools.",local_restrictions,
REC-0173,MD,Anne Arundel,,local,local_restriction,,"wind, solar",ban/prohibition,,2022,in_force,,,,Anne Arundel County prohibits large-scale wind energy projects in any zoning district.,County officials have stated that large-scale wind energy projects are not permitted in any zoning district within Anne Arundel County.,local_restrictions,
REC-0174,MD,Carroll,,local,local_restriction,,solar,"moratorium, setback, height restriction, buffer zone",,2023-2024,in_force,,,,Carroll County adopted a 6-month moratorium on community solar farm applications and amended its land use ordinance to increase restrictions on commercial solar projects.,"In March 2023, Carroll County adopted a 6-month moratorium on applications for community solar farms on agricultural land. In December 2024, the county amended its land use ordinance to restrict commercial solar projects in residential and commercial districts, set height limits, and require vegetative buffers.",local_restrictions,
REC-0175,MD,Harford,,local,local_restriction,,"solar, wind",land preservation program,,2024,in_force,,,,Harford County amended its Environmental Land Preservation program to protect agricultural land from renewable development.,"The Harford County Council amended the Environmental Land Preservation program in February 2024, allowing the county to spend up to $7 million to prevent renewable development on high-value farmland and offer each landowner up to $3,000 per acre.",local_restrictions,
REC-0176,MD,Somerset,,local,local_restriction,,wind,ban/prohibition,,2019,in_force,,,,Somerset County explicitly prohibits wind energy systems as a principal use of land.,"The Somerset County Zoning Ordinance, last updated in August 2019, explicitly prohibits the use of wind energy systems on any land within the county.",local_restrictions,
REC-0177,MD,Worcester,,local,local_restriction,,wind,ban/prohibition,,2015 or earlier,in_force,,,,Worcester County prohibits large wind energy conversion systems with a capacity greater than 100 kW in any district.,"Since June 15, 2015 or earlier, Worcester County regulations prohibit the installation of large wind energy conversion systems with a capacity greater than 100 kW in any zoning district within the county.",local_restrictions,
REC-0178,MD,Montgomery,,local,contested_project,Chaberton Energy Sugarloaf Solar Project,solar,,"local_residents, organized_group",2024-09,pending,4,,yes,Montgomery County Planning Board submitted comments opposing a 4-MW community solar project in the Agricultural Reserve zone.,"Chaberton Energy filed an application for a 4-MW community solar project in Montgomery County’s Agricultural Reserve zone. The Planning Board opposed the project, citing conflicts with local zoning requirements and received over 140 letters and emails from residents opposing it.",contested_projects,
REC-0179,MD,Worcester,,local,contested_project,Chaberton Snow Solar Project,solar,,"litigation, organized_group",2024-05,pending,4,30,yes,Worcester County Commissioners rescinded the denial of a 4-MW solar farm proposal after an administrative hearing and appeal.,"The Worcester County Commissioners rescinded their previous denial of a 30-acre, 4-MW solar farm proposal by Chaberton Snow Solar LLC. The rescission followed an administrative hearing and appeal to the Worcester County Circuit Court in December 2023.",contested_projects,
REC-0180,MD,Allegany,,local,contested_project,Dan’s Mountain Wind Farm,wind,,"local_residents, organized_group",2019-08,pending,17 * 50 = 850,,yes,"Local residents organized a group to oppose the Dan’s Mountain Wind Farm project, which faced legal challenges.","The proposed 17-turbine Dan’s Mountain Wind Farm in Allegany County has faced opposition from local residents who formed the Allegany Neighbors and Citizens for Home Owners Rights (ANCHOR) group. The project was challenged legally by ANCHOR, and the Court of Special Appeals upheld the approval.",contested_projects,
REC-0181,MD,Charles,,local,contested_project,Georgetown University’s Charles County Solar Project,solar,,"environmental_group, local_residents",2019-08,cancelled,32.5,249,,Local environmental groups opposed a 32.5-MW solar project due to potential ecological impacts.,"Environmental groups raised opposition to Georgetown University’s Charles County Solar Project, citing concerns over species and ecosystem impacts. The Maryland Department of the Environment denied a permit for the project in August 2019.",contested_projects,
REC-0182,MD,"Bal>more, Carroll, Frederick",,local,contested_project,Maryland Piedmont Reliability Project,transmission,,"local_residents, organized_group, state_political",2024-09,pending,,,,Local governments and environmental groups oppose a high-voltage transmission line project.,"The proposed Maryland Piedmont Reliability Project by PSEG encountered opposition from local governments in Baltimore, Carroll, and Frederick counties, as well as the Maryland Farm Bureau and an organization called Stop MPRP. The opponents are soliciting comments against the project and working to block approval.",contested_projects,
REC-0183,MD,Kent,,local,contested_project,Mills Branch Wind and Solar Project,"solar, wind",,"local_residents, organized_group",2015-2017,cancelled,100,5000,,Local opposition continued after the project was converted from wind to solar.,"Apex Clean Energy announced in April 2015 that they were slowing the application process for a proposed 5,000-acre Mill Branch Wind Farm due to local opposition. The developer eventually decided to convert the project to a solar energy project, but faced ongoing local opposition until January 2017 when the Public Service Commission denied the certificate of public convenience and necessity.",contested_projects,
REC-0184,MD,Charles,,local,contested_project,Ripley Road Solar Project,solar,,"local_residents, organized_group",2017-2019,cancelled,27.5,190,,Local opposition to a 27.5 MW solar project due to forest clearing.,"Origis Energy USA proposed the Ripley Road Solar Project, which required clearing 190 acres of forest and was conditionally approved by the Public Service Commission. However, in August 2019, the Maryland Department of the Environment denied a wetlands permit for the project.",contested_projects,
REC-0185,MA,Middlesex County,Waltham,local,local_restriction,,solar,ban/prohibition,,"June 4, 2022",in_force,,,,Supreme Judicial Court struck down Waltham's zoning restrictions on large-scale solar energy systems.,"The City of Waltham’s zoning code effectively limited large-scale solar energy facilities to industrial zones. The building inspector denied permission for a 1-MW solar facility based on local zoning restrictions, which were subsequently struck down by the Supreme Judicial Court in June 2022.",local_restrictions,county inferred
REC-0186,MA,Worcester County,Town of Charlton,local,local_restriction,,solar,ban/prohibition,,"2019, 2018",in_force,,,,Residents of Charlton voted to cap the number of large-scale solar installations in town.,"In 2019, residents of the Town of Charlton voted at a town meeting to cap the number of large-scale solar installations at 30 total, thus prohibiting new projects. This followed a one-year moratorium imposed in 2018.",local_restrictions,
REC-0187,MA,Franklin County,Town of Northfield,local,local_restriction,,"solar, storage",moratorium,,May 2024,in_force,,,,Residents of Northfield voted for a one-year moratorium on utility-scale solar projects and battery storage facilities.,"In May 2024, residents of the Town of Northfield voted in favor of two citizen’s petitions to place a one-year moratorium on utility-scale solar projects and battery storage facilities. The moratoriums were intended to provide time for drafting bylaws regulating these installations.",local_restrictions,
REC-0188,MA,Hampshire County,Town of Pelham,local,local_restriction,,"solar, storage","setback, zoning_restriction",,May 2023,in_force,,,,Pelham amended its solar and energy storage bylaws to require setbacks and forestland conservation.,"In May 2023, Pelham residents voted to amend the town’s solar and energy storage bylaws. The town prohibited energy storage systems as a principal use in all zoning districts and required large-scale solar projects (1.5-15 acres) to be set back at least 500 feet from nearby streets. Developers were also required to set aside four times the total area of a solar installation for forestland conservation.",local_restrictions,
REC-0189,MA,Franklin County,Town of Shutesbury,local,local_restriction,,solar,ban/prohibition,,"May 2008, June 2021",in_force,,,yes,Shutesbury’s solar bylaw prohibits solar plants larger than fifteen acres.,"Shutesbury’s solar bylaw, adopted in May 2008 and amended in June 2021, prohibited solar plants larger than fifteen acres. In January 2023, residents voted to adopt a revised town bylaw for solar arrays that would have banned energy storage systems as a principal use in all zoning districts and limited large-scale solar installations (1.5-15 acres) to special use in Forest Conservation Districts. The Massachusetts Attorney General’s office disapproved of the January 2023 bylaw, resulting in the pre-2023 bylaw regaining legal effect. A lawsuit filed by developer PureSky Energy challenged the town's solar regulations.",local_restrictions,
REC-0190,MA,Hampshire County,Amherst Capped Landfill Solar,local,contested_project,SunEdison 2.4-MW solar array on a capped town landfill,solar,,,"February 2012, July 2016",cancelled,2.4,,yes,Lawsuit against town officials for allegedly violating an agreement with the state.,"In 2011, the Town of Amherst selected SunEdison to build a 2.4-MW solar array on a capped town landfill. Citizens filed a lawsuit against town officials in response, alleging that they violated an agreement with the state requiring the site be used for recreational purposes. The lawsuit became moot when the state legislature passed a bill allowing all capped municipal landfills to serve as sites for solar projects. In April 2012, plaintiffs amended the lawsuit to include potential impacts on grasshopper sparrow habitat. The lawsuit was dismissed without prejudice in December 2015 and terminated by town officials in July 2016.",contested_projects,
REC-0191,MA,Hampshire County,ASD Shutesbury MA Solar LLC,local,contested_project,11-MW solar farm in Amherst,solar,,,November 2021,cancelled,11,,,Developer withdrew application for solar farm as Town Council considered moratorium.,"In November 2021, ASD Shutesbury MA Solar LLC withdrew an application to build a 11-MW solar farm in Amherst as the Town Council considered enacting an 18-month moratorium on large solar arrays.",contested_projects,
REC-0192,MA,Middlesex County,Bullard Farm Solar Plant,local,contested_project,Bullard Farm Solar Plant,solar,,,2012,cancelled,,,,Planning Board rejected proposed Bullard Farm Solar Plant due to health concerns.,The Holliston Planning Board unanimously rejected the proposed Bullard Farm Solar Plant in 2012. A local group claimed that the solar array would pose risks to the health of area residents due to toxic chemicals in the panels and the output of electromagnetic frequency.,contested_projects,
REC-0193,MA,Barnstable County,Cape Wind,local,contested_project,454-MW offshore wind farm,wind,,"organized_group, local_residents, state_political",2017,cancelled,454,,yes,Developer abandoned project after years of legal challenges and delays.,"In 2017, the developer of Cape Wind, a proposed 454-MW offshore wind farm, abandoned the project after spending $100 million of his own money. The project faced opposition from groups such as the Alliance to Protect Nantucket Sound, fishing groups, and Native American tribes. Legal challenges delayed the project, leading two utilities to cancel their contracts with Cape Wind in 2015.",contested_projects,
REC-0194,MA,Barnstable County,Commonwealth Wind,local,contested_project,"1,200-MW offshore wind farm",wind,,litigation,"December 2022, October 2023",cancelled,1200,,yes,Developer terminated power purchase agreements and withdrew authorization for host community agreement.,"In December 2022, developer Avangrid requested to terminate power purchase agreements for the Commonwealth Wind project. The agreements were formally terminated in October 2023. In response, the Barnstable Town Council unanimously voted to withdraw authorization for negotiation of a host community agreement for the project. The town manager expressed reservations about the draft environmental impact report.",contested_projects,
REC-0195,MI,,,state,state_restriction,,"wind,solar",ban/prohibition,,2019-2020,in_force,,,,Michigan has state-level restrictions on wind and solar projects.,"Michigan has enacted laws that prohibit or restrict the development of wind and solar energy projects, reflecting opposition to renewable energy facilities within the state.",state_level_restrictions,
REC-0196,MI,,Adams Township,local,local_restriction,,"wind, solar",moratorium,,August 2021,in_force,,,,Adams Township imposed a 6-month moratorium on commercial wind and solar projects.,"In August 2021, the Adams Township Board unanimously voted to impose a 6-month moratorium on commercial wind and solar projects. The vote came at a time when Adams was being considered as the site for a wind farm.",local_restrictions,
REC-0197,MI,Tuscola County,Almer Township,local,local_restriction,,wind,"setback, noise_limit, shadow_flicker_limit",,2020,in_force,,,,Almer Township adopted a wind ordinance requiring setbacks and noise limits.,"In 2020, Almer Township adopted a wind ordinance requiring that commercial wind turbines be set back from property lines by a distance of 4 times the height of the highest blade tip. It further limits noise to 39 dBA at night and limits shadow flicker on neighboring properties to zero.",local_restrictions,
REC-0198,MI,Lapeer County,Arcadia Township,local,local_restriction,,wind,"setback, noise_limit",,2019,in_force,,,,Arcadia Township’s 2019 zoning ordinance limits noise and establishes setbacks for wind turbines.,"Arcadia Township’s 2019 zoning ordinance for wind energy limits noise to 40 dBa and establishes setbacks from property lines, occupied buildings, and rights-of-way of 1,640 feet for turbines less than 500 feet and 3.28 times turbine max blade tip height for turbines greater than 500 feet.",local_restrictions,
REC-0199,MI,Washtenaw County,Augusta Township,local,local_restriction,,solar,moratorium,,March 2022,in_force,,,,Augusta Township adopted a 6-month moratorium on large solar energy systems.,"In March 2022, Augusta Township adopted a 6-month moratorium on large solar energy systems, subject to renewal.",local_restrictions,
REC-0200,MI,Branch County,Batavia Township,local,local_restriction,,wind,height_limit,,September 2020,in_force,,,,Batavia Township approved a wind ordinance limiting the height of turbines.,The Batavia Township Board approved a restrictive wind ordinance in September 2020 that limits the height of wind turbines to 330 feet. The restrictions were promoted aggressively on Facebook by a group called Concerned Citizens of Branch County in response to efforts by DTE Energy to develop a wind farm in the area.,local_restrictions,
REC-0201,MI,Bay County,Beaver Township,local,local_restriction,,"wind, solar","setback, noise_limit, height_limit",,May 2018,in_force,,,,Beaver Township adopted restrictions on wind and solar energy.,"In May 2018, Beaver Township adopted restrictions on wind energy amidst opposition to DTE Energy’s plans to develop a wind farm in the area. As of October 2022, the township’s zoning ordinance requires that wind turbines be set back at least 1,760 feet from property lines or 4 times tower height, whichever is greater, and limits shadow flicker to zero; it also limits the height of commercial solar energy systems to 12 feet and requires that they be set back 500 feet from property lines.",local_restrictions,
REC-0202,MI,Monroe County,Bedford Township,local,local_restriction,,solar,zoning_restriction,,September 2021,in_force,,,,Bedford Township only allows solar development in industrial-zoned districts.,"As of September 2021, Bedford Township only allowed solar development in industrial-zoned districts, excluding it from agricultural districts.",local_restrictions,
REC-0203,MI,Monroe County,Berlin Charter Township,local,local_restriction,,solar,zoning_restriction,,February 2020,in_force,,,,Berlin Charter Township disallows solar development in agricultural-zoned districts.,"Berlin Charter Township’s zoning code, last amended in February 2020, disallows solar development in agricultural-zoned districts and limits it to a special use in industrial-zoned districts.",local_restrictions,
REC-0204,MI,Sanilac County,Bridgehampton Township,local,local_restriction,,wind,moratorium,,,lifted,,,,Bridgehampton Township initially proposed a wind moratorium but eventually rejected it.,"In March 2016, a Bridgehampton Township council member moved for a wind moratorium, but this moratorium was eventually rejected. In November 2016, the township adopted a six-month moratorium on new wind development under a new board supervisor.",local_restrictions,
REC-0205,MI,Muskegon County,Casnovia Township,local,local_restriction,,wind,"setback, noise_limit, shadow_flicker_limit",,October 2019,in_force,,,,Casnovia Township adopted wind energy restrictions similar to Almer Township.,"In October 2019, Casnovia Township adopted wind energy restrictions that are virtually identical to those of Almer Township. The ordinance requires that commercial wind turbines be set back from property lines by a distance of 4 times blade tip height. It further limits noise to 39 dBA at night and limits shadow flicker on neighboring properties to zero.",local_restrictions,
REC-0206,MI,Oceana County,Claybanks Township,local,local_restriction,,wind,"setback, noise_limit, height_limit",,2019,in_force,,,,Claybanks Township established restrictions for wind turbines.,"Claybanks Township’s 2019 zoning ordinance establishes the following restrictions for wind turbines: setbacks of 1,500 feet from the nearest inhabited structure on a participating property and 3,000 feet from the nearest non-participating property line; a turbine max blade tip height limitation of 500 feet; and a noise limit of 40 dBa at non-participating properties.",local_restrictions,
REC-0207,MI,Clinton County,,local,local_restriction,,"wind, solar",moratorium,,"May 2023, April 2024",in_force,,,,Clinton County established a moratorium on utility-scale wind and solar projects.,"In May 2023, the Clinton County Board of Commissioners established a 1-year moratorium on wind power plants and large-scale solar energy facilities. In April 2024, the Clinton County Board passed multiple amendments restricting utility-scale wind energy, including: a minimum setback from non-participating properties of 1,600 feet or 4 times turbine height, whichever is greater; a maximum turbine height of 450 feet; no shadow flicker on non-participating properties; and a noise limit of 45 dBA.",local_restrictions,
REC-0208,MI,Livingston County,Cohoctah Township,local,local_restriction,,solar,moratorium,,"December 2021, February 2023",in_force,,,,Cohoctah Township adopted a moratorium on utility-scale solar projects.,"In December 2021, Cohoctah Township adopted a year-long moratorium on utility-scale solar. The township adopted another year-long utility-scale solar moratorium in February 2023.",local_restrictions,
REC-0209,MI,Livingston County,Conway Township,local,local_restriction,,"wind, solar",moratorium,,April 2023,in_force,,,,Conway Township adopted a moratorium on commercial wind and solar projects.,"In April 2023, Conway Township adopted a year-long moratorium on commercial wind and solar projects.",local_restrictions,
