id,state,project_name,technology,severity_score,description,outcome,finality_evidence,status,has_litigation,opposition_type,county,municipality,event_date_text,capacity_mw,area_acres,long_description,source_record_id,source,source_url,notes,id,source_id
con_37179879f8,IL,Alta Wind Farm,wind,3,The Alta Wind Farm faced local opposition and legal challenges but eventually began operation in 2023.,advanced_confirmed,court_ruling: Alta Farms Wind Project II v. DeWitt County,approved_after_opposition,yes,"litigation, local_residents",DeWitt County,,,200,,"The 200-MW Alta Wind Farm was approved in July 2020 by the DeWitt County Board despite local opposition. The project had been proposed nearly 10 years before. In October 2020, opponents filed two separate lawsuits to stop the project but dropped both of those lawsuits in March 2021. In July 2021, the DeWitt County Board approved a motion preventing the issuance of new building permits to Enel Green Power for the Alta Wind Farm until the company could prove that its turbines could be curtailed during severe weather events. An Illinois judge then issued a mandamus order holding that the Dewitt County Board lacked legal authority to halt the issuance of building permits. The wind farm proceeded to operation in June 2023.",REC-0085,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_37179879f8,src_90d5b39d9a09
con_d4dbbbd76c,KY,Flemingsburg Wind Project,wind,4,Duke Energy Renewables announced its intent to discontinue pursuing the construction of a wind farm in Mason and Fleming Counties due to local opposition.,blocked_unverified,outcome_label_only,cancelled,,"local_residents, organized_group",Fleming County (Mason County),Flemingsburg,2014-05,,,"In May 2014, Duke Energy Renewables announced its intent to discontinue pursuing the construction of a wind farm in Mason and Fleming Counties. The project, which would have included 26 to 100 wind turbines, had encountered local opposition, and the developer explained in a letter that it concluded the project had little chance of success.",REC-0144,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_d4dbbbd76c,src_90d5b39d9a09
con_27db22e033,KY,Geenex Solar Project,solar,4,"Clark County Fiscal Court denied two ordinances that would have expanded the places solar farms could be zoned in the county, leading to a victory for an anti-solar community group.",blocked_unverified,outcome_label_only,cancelled,yes,"organized_group, local_residents",Clark County,,2021-08,,,"In August 2021, amidst Geenex Solar’s early planning of a large-scale solar project in Clark County, the Clark County Fiscal Court denied two ordinances that would have expanded the places solar farms could be zoned in the county. The Clark CoaliDon, an anti-solar community group, celebrated the decision as a victory.",REC-0145,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_27db22e033,src_90d5b39d9a09
con_688bb69672,KY,Hardin Solar LLC Project,solar,4,"Hardin County Planning Commission denied a conditional use permit for Hardin Solar LLC, with almost 200 residents attending the commission meeting and many belonging to Hardin County Citizens for Responsible Solar.",blocked_unverified,outcome_label_only,cancelled,yes,"local_residents, organized_group",Hardin County,,2022-01,,,"In January 2022, the Hardin County Planning Commission denied a conditional use permit for Hardin Solar LLC. Almost 200 Hardin County residents attended the commission meeting, many of them belonging to Hardin County CiDzens for Responsible Solar. This group is opposed to industrial solar projects and has claimed credit for the denial of Hardin Solar’s permit.",REC-0146,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_688bb69672,src_90d5b39d9a09
con_cfc5774b7a,KY,Madison County Solar Farm,solar,1,"Local residents collected signatures opposing a 100-MW, 1,100-acre solar farm in Madison County on the grounds that it would be an eyesore and harm property values.",advanced_unverified,outcome_label_only,approved_after_opposition,,"local_residents, organized_group",Madison County,,2020-12 or 2021-01,100,1100,"Local residents collected 387 signatures for a petition opposing a 100-MW, 1,100-acre solar farm in Madison County on the grounds that it would be an eyesore and harm property values. However, in December 2020 or January 2021, the Madison County Board of Adjustments approved the project.",REC-0147,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_cfc5774b7a,src_90d5b39d9a09
con_d8d3ea6e86,KY,NextEra’s Mason County Wind Energy Project,wind,4,"NextEra Energy Resources announced it was abandoning research on a potential wind project in Mason County due to state restrictions and anticipated local restrictions, including increased setbacks.",blocked_unverified,outcome_label_only,cancelled,,"local_residents, organized_group",Mason County,,2014-05,,,"In May 2014, NextEra Energy Resources submitted a letter to Mason County officials announcing that it was abandoning research on a potential wind project in the county due to state restrictions and anticipated local restrictions, including increased setbacks.",REC-0148,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_d8d3ea6e86,src_90d5b39d9a09
con_d22367e571,KY,Savion’s Mercer County Solar Farm,solar,4,"Mercer County Fiscal Court denied approval for a 1,200-acre solar project proposed by Savion, overriding the recommendation of the county’s planning and zoning commission.",blocked_unverified,outcome_label_only,cancelled,yes,"organized_group, local_residents",Mercer County,,2020-10,,1200,"In October 2020, the Mercer County Fiscal Court denied approval for a 1,200-acre solar project proposed by Savion, overriding the recommendaDon of the county’s planning and zoning commission. Opponents organized against the project on a Facebook group called “Preserve Mercer County Farm Land” and spoke at a public meeting in August 2020.",REC-0149,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_d22367e571,src_90d5b39d9a09
con_c4b18e3d55,KY,Stonefield Solar Project,solar,3,"Hardin County Commission denied a request to change the zoning of 1,030 acres from rural residential to industrial for the development of the Stonefield Solar Project. A lawsuit was filed challenging the permitting of the solar project in a heavy industrial zone.",pending,none,pending,yes,"local_residents, organized_group",Hardin County,,2023-05,,1030,"In May 2023, the Hardin County Commission denied a request by participating landowners to change the zoning of 1,030 acres from rural residential to industrial to allow for the development of the Stonfield Solar Project. The Harden Fiscal Court eventually approved the zoning change in July 2023. Later that month, a citizen’s group called Hardin County Citizens for Responsible Solar filed a lawsuit challenging the permitting of the solar project in a heavy industrial zone, arguing that the project does not qualify as manufacturing and is at odds with the Hardin County Comprehensive Plan.",REC-0150,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_c4b18e3d55,src_90d5b39d9a09
con_a27dc93458,LA,Cajun Crescent Energy Center,solar,3,A lawsuit was filed against the Calcasieu Parish zoning board and police jury in September 2021 over a proposed solar farm.,pending,none,pending,yes,"local_residents, organized_group",Calcasieu Parish,,"September 2021 - November 19, 2024",300 to 400 MW,"3,400 acres","In September 2021, local residents of Southeast Calcasieu Parish filed a lawsuit against the parish zoning board and police jury to contest the approval of a 3,400-acre solar farm that would generate 300 to 400 MW. Opponents of the project stated that they have not received sufficient guarantees as to human health and safety, as well as impacts on birds and other wildlife. On November 19, 2024, the Calcasieu Planning and Zoning Board rejected a zoning exception necessary for construction to proceed.",REC-0154,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_a27dc93458,src_90d5b39d9a09
con_96160cb151,LA,St. James Solar,solar,2,A land use permit for a proposed solar farm was denied by the St. James Parish Council in June 2024.,pending,none,pending,no,"local_residents, organized_group",St. James Parish,,"June 2024 - November 19, 2024",360 MW,"2,200 acres","In June 2024, after more than 2.5 hours of comments at a public meeting, the St. James Parish Council denied by 4-3 vote a land use permit for St. James Solar, a 2,200-acre, 360-MW solar farm proposed by D.E. Shaw Renewable Investments (DESRI). The Council’s denial followed the St. James Parish Planning Commission’s 8-1 rejection of the project in April 2024. DESRI had agreed to offer a $4.67 million community benefits package and stated that the solar farm would have extensive buffers, fencing, and screening such that it would be virtually invisible and noiseless to passerby. The project, however, would have required a special exception from the agricultural and residential land use designations in the land use plan, which prohibit solar farms, and that exception was denied.",REC-0155,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_96160cb151,src_90d5b39d9a09
con_7249412564,LA,White Castle Solar Farm,solar,2,A proposed solar farm faces opposition from residents citing concerns about property devaluation and loss of farmland.,pending,none,pending,,"local_residents, organized_group",Iberville Parish,,September 2023 - present,,"2,057 acres","Developer NextEra has proposed a 2,057-acre solar project in Iberville and Pointe Coupee Parishes. Pointe Coupee Parish residents have generally not opposed the project, but a contingent in Iberville Parish has stood in strong opposition to it. Citing concerns about devalued property, loss of farmland, and impacts to the parishes’ rural atmosphere, project opponents held up signs saying “no solar” and “you’re not wanted here” at a September 2023 parish meeting. Parish President Mitchell Ourso voiced his opposition to the project, saying, ‘I cannot support this project here in our parish. . . . Before there was industry in our parish, everything was agriculture. This has no economic impact, and I think it can be detrimental for years to come in White Castle.’",REC-0156,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_7249412564,src_90d5b39d9a09
con_13940fdba9,MA,"1,200-MW offshore wind farm",wind,4,Developer terminated power purchase agreements and withdrew authorization for host community agreement.,blocked_unverified,outcome_label_only,cancelled,yes,litigation,Barnstable County,Commonwealth Wind,"December 2022, October 2023",1200,,"In December 2022, developer Avangrid requested to terminate power purchase agreements for the Commonwealth Wind project. The agreements were formally terminated in October 2023. In response, the Barnstable Town Council unanimously voted to withdraw authorization for negotiation of a host community agreement for the project. The town manager expressed reservations about the draft environmental impact report.",REC-0194,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_13940fdba9,src_90d5b39d9a09
con_c2099c575a,MA,11-MW solar farm in Amherst,solar,4,Developer withdrew application for solar farm as Town Council considered moratorium.,blocked_unverified,outcome_label_only,cancelled,,,Hampshire County,ASD Shutesbury MA Solar LLC,November 2021,11,,"In November 2021, ASD Shutesbury MA Solar LLC withdrew an application to build a 11-MW solar farm in Amherst as the Town Council considered enacting an 18-month moratorium on large solar arrays.",REC-0191,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_c2099c575a,src_90d5b39d9a09
con_db91d6c999,MA,454-MW offshore wind farm,wind,4,Developer abandoned project after years of legal challenges and delays.,blocked_confirmed,court_ruling: Public Employees for Environmental Responsibility v. Hopper,cancelled,yes,"organized_group, local_residents, state_political",Barnstable County,Cape Wind,2017,454,,"In 2017, the developer of Cape Wind, a proposed 454-MW offshore wind farm, abandoned the project after spending $100 million of his own money. The project faced opposition from groups such as the Alliance to Protect Nantucket Sound, fishing groups, and Native American tribes. Legal challenges delayed the project, leading two utilities to cancel their contracts with Cape Wind in 2015.",REC-0193,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_db91d6c999,src_90d5b39d9a09
con_7ac9fd0b47,MA,Bullard Farm Solar Plant,solar,4,Planning Board rejected proposed Bullard Farm Solar Plant due to health concerns.,blocked_unverified,outcome_label_only,cancelled,,,Middlesex County,Bullard Farm Solar Plant,2012,,,The Holliston Planning Board unanimously rejected the proposed Bullard Farm Solar Plant in 2012. A local group claimed that the solar array would pose risks to the health of area residents due to toxic chemicals in the panels and the output of electromagnetic frequency.,REC-0192,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_7ac9fd0b47,src_90d5b39d9a09
con_db343251b7,MA,SunEdison 2.4-MW solar array on a capped town landfill,solar,4,Lawsuit against town officials for allegedly violating an agreement with the state.,blocked_unverified,outcome_label_only,cancelled,yes,,Hampshire County,Amherst Capped Landfill Solar,"February 2012, July 2016",2.4,,"In 2011, the Town of Amherst selected SunEdison to build a 2.4-MW solar array on a capped town landfill. Citizens filed a lawsuit against town officials in response, alleging that they violated an agreement with the state requiring the site be used for recreational purposes. The lawsuit became moot when the state legislature passed a bill allowing all capped municipal landfills to serve as sites for solar projects. In April 2012, plaintiffs amended the lawsuit to include potential impacts on grasshopper sparrow habitat. The lawsuit was dismissed without prejudice in December 2015 and terminated by town officials in July 2016.",REC-0190,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_db343251b7,src_90d5b39d9a09
con_cf1a7831d9,MD,Chaberton Energy Sugarloaf Solar Project,solar,3,Montgomery County Planning Board submitted comments opposing a 4-MW community solar project in the Agricultural Reserve zone.,pending,none,pending,yes,"local_residents, organized_group",Montgomery,,2024-09,4,,"Chaberton Energy filed an application for a 4-MW community solar project in Montgomery County’s Agricultural Reserve zone. The Planning Board opposed the project, citing conflicts with local zoning requirements and received over 140 letters and emails from residents opposing it.",REC-0178,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_cf1a7831d9,src_90d5b39d9a09
con_3dc865afe3,MD,Chaberton Snow Solar Project,solar,3,Worcester County Commissioners rescinded the denial of a 4-MW solar farm proposal after an administrative hearing and appeal.,pending,none,pending,yes,"litigation, organized_group",Worcester,,2024-05,4,30,"The Worcester County Commissioners rescinded their previous denial of a 30-acre, 4-MW solar farm proposal by Chaberton Snow Solar LLC. The rescission followed an administrative hearing and appeal to the Worcester County Circuit Court in December 2023.",REC-0179,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_3dc865afe3,src_90d5b39d9a09
con_07787373eb,MD,Dan’s Mountain Wind Farm,wind,3,"Local residents organized a group to oppose the Dan’s Mountain Wind Farm project, which faced legal challenges.",pending,none,pending,yes,"local_residents, organized_group",Allegany,,2019-08,17 * 50 = 850,,"The proposed 17-turbine Dan’s Mountain Wind Farm in Allegany County has faced opposition from local residents who formed the Allegany Neighbors and Citizens for Home Owners Rights (ANCHOR) group. The project was challenged legally by ANCHOR, and the Court of Special Appeals upheld the approval.",REC-0180,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_07787373eb,src_90d5b39d9a09
con_004efd3b83,MD,Georgetown University’s Charles County Solar Project,solar,4,Local environmental groups opposed a 32.5-MW solar project due to potential ecological impacts.,blocked_unverified,outcome_label_only,cancelled,,"environmental_group, local_residents",Charles,,2019-08,32.5,249,"Environmental groups raised opposition to Georgetown University’s Charles County Solar Project, citing concerns over species and ecosystem impacts. The Maryland Department of the Environment denied a permit for the project in August 2019.",REC-0181,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_004efd3b83,src_90d5b39d9a09
con_472dc0e7e0,MD,Maryland Piedmont Reliability Project,transmission,2,Local governments and environmental groups oppose a high-voltage transmission line project.,pending,none,pending,,"local_residents, organized_group, state_political","Bal>more, Carroll, Frederick",,2024-09,,,"The proposed Maryland Piedmont Reliability Project by PSEG encountered opposition from local governments in Baltimore, Carroll, and Frederick counties, as well as the Maryland Farm Bureau and an organization called Stop MPRP. The opponents are soliciting comments against the project and working to block approval.",REC-0182,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_472dc0e7e0,src_90d5b39d9a09
con_aad7177210,MD,Mills Branch Wind and Solar Project,solar;wind,4,Local opposition continued after the project was converted from wind to solar.,blocked_unverified,outcome_label_only,cancelled,,"local_residents, organized_group",Kent,,2015-2017,100,5000,"Apex Clean Energy announced in April 2015 that they were slowing the application process for a proposed 5,000-acre Mill Branch Wind Farm due to local opposition. The developer eventually decided to convert the project to a solar energy project, but faced ongoing local opposition until January 2017 when the Public Service Commission denied the certificate of public convenience and necessity.",REC-0183,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_aad7177210,src_90d5b39d9a09
con_345f560f77,MD,Ripley Road Solar Project,solar,4,Local opposition to a 27.5 MW solar project due to forest clearing.,blocked_unverified,outcome_label_only,cancelled,,"local_residents, organized_group",Charles,,2017-2019,27.5,190,"Origis Energy USA proposed the Ripley Road Solar Project, which required clearing 190 acres of forest and was conditionally approved by the Public Service Commission. However, in August 2019, the Maryland Department of the Environment denied a wetlands permit for the project.",REC-0184,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_345f560f77,src_90d5b39d9a09
con_66fdd99d13,MI,Southwest Michigan Solar Project,solar,3,Southwest Michigan Solar Project sued Decatur Township after voters rejected an ordinance allowing the project.,pending,none,pending,yes,litigation,Van Buren County,Decatur Township,August 2023,,,"In August 2023, Southwest Michigan Solar Project sued Decatur Township after voters in a special election rejected an ordinance that would have allowed the project to proceed. The developers allege that the governing 2022 ordinance had a misprint in the zoning district abbreviations that resulted in the ordinance inadvertently disallowing the project. A new ordinance was adopted to correct the mistake, but 80% of residents voted it down in a special election.",REC-0210,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_66fdd99d13,src_90d5b39d9a09
con_9c0f74e6de,MN,Big Blue Wind Farm,wind,2,"Big Blue Wind Farm faced noise complaints and a PUC intervention, leading to ongoing issues.",pending,none,pending,,residents,Faribault,,December 2012,36,,"The Big Blue Wind Farm in Faribault County is an 18-turbine, 36-MW wind farm that went online in December 2012. Ager years of complaints about noise, the Public Utilities Commission (PUC) intervened in 2017 and discovered that the project’s noise protocol had never been approved. Residents then pushed for the farm to be completely shut down, but the PUC instead ordered the developer to address the problems and issued a warning.",REC-0219,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_9c0f74e6de,src_90d5b39d9a09
con_c23172fa21,MN,Hale Township Community Solar Garden,solar,3,"McLeod County rejected a solar garden proposal on prime farmland, overturned by the Court of Appeals.",pending,none,pending,yes,residents,McLeod,,2021,,3.5,"The McLeod County Board of Commissioners rejected a proposal for a 3.5-acre solar garden on prime farmland in 2021. In 2024, the Minnesota Court of Appeals overturned the County Board’s decision, finding that their stated concerns about impacts to neighboring property values and prime farmland were arbitrary and capricious and ordered the Board to approve the project.",REC-0220,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_c23172fa21,src_90d5b39d9a09
con_89a5b29fd0,MN,Marshall Solar Project,solar,1,Marshall Solar Project faced local opposition but was ultimately approved by the PUC.,advanced_unverified,outcome_label_only,approved,,residents,Lyon,,2016,62,500,"The Marshall Solar Project in southwestern Minnesota is a 500-acre, 62-MW solar energy complex that faced opposition from local residents who argued it would lower property values and disrupt their rural lifestyle. Opponents also complained that the developer had not sought out non-prime farmland for the project. The Public Utilities Commission (PUC) unanimously approved the project in March 2016.",REC-0221,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_89a5b29fd0,src_90d5b39d9a09
con_e63a57b045,MN,Minnetrista Solar Farm,solar,4,Minnetrista rejected a proposed solar farm and implemented a moratorium on solar projects.,blocked_unverified,outcome_label_only,cancelled,,residents,Hennepin,Minnetrista,October 2020,,5-6,"A proposed solar energy system on 5-6 acres of vacant land in Minnetrista, Hennepin County, initially earned the Planning Commission’s recommendation for approval in September 2020. However, after receiving public comment, the city council rejected the project in October 2020 and implemented a moratorium on solar energy projects while it revised its ordinance to make clear that only small accessory-use systems are allowed.",REC-0222,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_e63a57b045,src_90d5b39d9a09
con_ed00a6e8c7,MN,New Era Wind Farm,wind,4,New Era Wind Farm was denied further authorization by the PUC due to risks to endangered bird species.,blocked_unverified,outcome_label_only,cancelled,,residents,Goodhue,,August 2013,,,A drawn-out battle between New Era Wind and Goodhue County residents led to the Minnesota Public Utilities Commission (MPUC) voting against further authorization of the New Era Wind Farm in August 2013. The MPUC determined that the operation of this wind farm would pose a risk to eagles and other endangered bird species in Goodhue County. New Era Wind announced it was terminating its plans for the project soon after.,REC-0223,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_ed00a6e8c7,src_90d5b39d9a09
con_087a407786,MO,Grain Belt Express Tiger Connector Expansion,solar;transmission,3,"Residents and agricultural groups opposed the Grain Belt Express Tiger Connector Expansion, but it was eventually approved.",advanced_unverified,outcome_label_only,approved_after_opposition,yes,"local_residents, organized_group",Callaway and Chariton Counties,,October 2024,,,"A Facebook group with 600 followers called “Callaway County Missouri Solar Invasion” organized residents to oppose a 40-mile connector to the 800-mile Grain Belt Express (GBX) transmission line. Opponents raised concerns about visual impacts and loss of farmland caused by the solar projects that the transmission line will support. In October 2024, the state’s court of appeals ruled that Chariton County government could not block the construction of the project by refusing permission to cross its county roads.",REC-0231,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_087a407786,src_90d5b39d9a09
con_d479ab641e,MO,Guthrie Solar Project,solar,4,The Guthrie Solar Project was rendered a nuisance by new local regulations.,blocked_unverified,outcome_label_only,cancelled,yes,"organized_group, local_residents",Callaway County,,"April 27, 2022",100,600,"The regulaDons described above that the City of New Bloomfield adopted on April 27, 2022, rendered plans for the 100-MW, 600-acre Guthrie Solar Project a nuisance. The project was planned to be within city limits, and the new rules prohibited any commercial solar project within 1,000 feet of city limits.",REC-0232,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_d479ab641e,src_90d5b39d9a09
con_472ba8991c,MO,Osborn Wind Project,wind,3,"The Osborn Wind Project faced local opposition and lawsuits, with a settlement allowing up to 24 turbines.",pending,none,pending,yes,"local_residents, organized_group",Clinton and DeKalb Counties,,"2010, lawsuits and settlement in 2018-2020",200,,"The 200-MW, 97-turbine Osborn Wind Project was proposed in Clinton and DeKalb Counties in 2010. Local residents founded the Concerned Citizens for the Future of Clinton and DeKalb Counties group to oppose wind development. Following a number of lawsuits, NextEra and the Washington Township Zoning Commission reached a settlement agreement in 2018 that allowed for the construction of up to 24 turbines. The developer dropped a lawsuit against Clinton County in 2020.",REC-0233,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_472ba8991c,src_90d5b39d9a09
con_41458a9399,MS,Minkar Solar Farm,solar,2,"Residents in Lamar County opposed a proposed 90-MW solar farm, raising concerns about property values and agricultural land.",pending,none,pending,,"organized_group, local_residents",Lamar County,,July 2023,90,1700,"In July 2023, residents organized a community meeting to express opposition to the proposed 90-MW, 1,700-acre Minkar solar farm. Two residents created signs, an online petition, and a social media group in opposition to the project; as of February 2024, the petition had 336 signatures. The Lamar County Board of Supervisors will ultimately decide on whether to approve the project.",REC-0225,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_41458a9399,src_90d5b39d9a09
con_dfbf01f1ad,MS,Soul City Solar,solar;battery_storage,2,"Residents opposed a proposed 396-MW solar farm and 70-MW battery storage facility in Hinds County, Mississippi.",pending,none,pending,,"organized_group, local_residents",Hinds County,,2021,466,6000,"In 2021, Apex Clean Energy began acquiring leases for a proposed 6,000-acre, 396-MW solar farm and 70-MW battery storage facility. Nearby residents organized opposition through a letter to the Hinds County Planning and Zoning Department and a Change.org petition with over 1,000 signatures. The Hinds County Planning Commission voted against recommending the project; however, the Hinds County Board of Supervisors approved it in June 2024.",REC-0224,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_dfbf01f1ad,src_90d5b39d9a09
con_7c6480609a,MT,Basin Creek Solar Project,solar,3,FX Solutions' application for a special use permit to build the Basin Creek Solar Project was denied by the BuWe-Silver Bow Zoning Board of Adjustment in July 2021. The company appealed the decision.,pending,none,pending,yes,litigation,Silver Bow County,,,,"1,600 acres","On July 15, 2021, the BuWe-Silver Bow Zoning Board of Adjustment denied a permit to FX Solutions for the Basin Creek Solar Project on 1,600 acres. In August 2021, FX Solutions appealed the decision. The company argued that the Zoning Board erred by focusing only on public opposition and ignoring support for the project.",REC-0235,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_7c6480609a,src_90d5b39d9a09
con_ec5c4996a1,MT,Crazy Mountain Wind Project,wind,4,"PaWern Energy's Crazy Mountain Wind Project was abandoned after a judge issued a preliminary injunction in March 2019, making it impossible to obtain necessary financing.",blocked_unverified,outcome_label_only,cancelled,yes,litigation,Sweet Grass County,,,22 turbines,,"PaWern Energy proposed a 22-turbine wind project in Sweet Grass County. Four companies that owned neighboring land initiated legal action alleging nuisance. In March 2019, a Montana judge issued a preliminary injunction on construction while the case awaited trial. By July 2019, PaWern asserted that the preliminary injunction made it impossible to obtain necessary financing and satisfy contractual obligations, leading to the abandonment of the project.",REC-0236,"Sabin Center, Opposition to Renewable Energy Facilities in the United States (June 2025 ed.), via data/renewable_opposition_records.csv",https://climate.law.columbia.edu/sites/default/files/content/Opposition-Report-June-2025.pdf,,con_ec5c4996a1,src_90d5b39d9a09
