state,project_name,technology,source_record_id,linked_entity,outcome,opposition_type,event_date_text,litigation_context,case_name,court,court_level,docket_number,case_status,case_source_url,severity_score,review_status,reviewer_notes
NJ,Atlantic Shores South Project,wind,REC-0276,contested_project,pending,"litigation, organized_group",July 2023,"The Atlantic Shores South Project, a 2,800-MW offshore wind project, faced significant opposition. In July 2023, all of the municipalities of Long Beach Island filed a letter with the New Jersey Department of Environmental Protection (NJDEP) claiming that the project does not comply with NJDEP’s coastal zone management regulations and should be sited farther offshore to avoid impacts on state coastal resources. In April 2023, Save Long Beach Island filed a lawsuit against the federal government challenging authorizations for Atlantic Shores and other offshore wind projects; this lawsuit was dismissed in February 2024. In August 2023, MOVE ‘EM OUT, a New Jersey nonprofit organization devoted to preserving the state’s beaches, announced its opposition to the project, arguing that it would have detrimental impacts on New Jersey's southern shoreline ecology. The project, if approved, would build 200 wind turbines 9 miles off New Jersey's coast. In December 2023, eight municipalities filed a lawsuit in state court against the NJDEP, seeking a judgment that the project violates New Jersey coastal regulations.","Save Long Beach Island v. Atlantic Shores Offshore Wind, LLC",U.S. District Court for the District of New Jersey,federal_district,3:24-cv-09377,pending,https://www.govinfo.gov/app/details/USCOURTS-njd-3_24-cv-09377,,promoted,"Verified 2026-09-24 by web search: a govinfo result names this case, court and docket; opinion text not read. Appeal docketed in the Third Circuit as 26-2186. The municipalities' separate 2023 state suit was dismissed for lack of standing in April 2024 (not recorded here)."
NJ,New York Bight Offshore Wind Area,wind,REC-0279,contested_project,needs_review,"litigation, organized_group","March 10, 2023","Save Long Beach Island sued the Interior Department’s Bureau of Ocean Energy Management for designating certain areas in the New York Bight as wind energy areas. The group argued that the Interior Department violated NEPA and ESA by failing to consider environmental impacts and consult with other agencies before acting. In March 2023, a federal judge dismissed the lawsuit but allowed plaintiffs to amend and refile their complaint.",Save Long Beach Island v. U.S. Department of the Interior,U.S. District Court for the District of Columbia,federal_district,22-cv-55 (DLF),dismissed,https://www.courtlistener.com/opinion/9382865/save-long-beach-island-v-united-states-department-of-the-interior/,,promoted,"Verified 2026-09-24 by web search: a CourtListener result names this case, court and docket; opinion text not read. Dismissed for lack of jurisdiction."
NJ,Ocean Wind 1,wind,REC-0281,contested_project,blocked_unverified,"litigation, organized_group",September 2022 - February 2023,"The proposed 98-turbine, 1,100-MW Ocean Wind 1 project faced significant opposition. Local governments twice denied necessary approvals for the onshore components of the project, prompting the state Board of Public Utilities to bypass local approvals in September 2022 and February 2023. Various citizens groups opposed to offshore wind filed lawsuits against the developer Ørsted and the State of New Jersey, challenging tax subsidies and consistency with coastal management laws. In July 2023, Ocean City Mayor Jay Gillian installed anti-wind farm signs at beach entrances located 15 miles from the project. In August 2023, a state Superior Court granted a land easement to allow the project to bring underground power cables onshore in Ocean City. In October 2023, Cape May County and several environmental, fishing, and hospitality organizations filed a lawsuit against the Interior Department and Bureau of Ocean Energy Management, seeking to reverse approval of the project. The lawsuit included claims under various federal laws. Later in October 2023, Ørsted announced that it was ceasing development on Ocean Wind 1 along with another project—Ocean Wind 2—citing high inflation, rising interest rates, and supply chain bottlenecks. In December 2024, Cape May County ended its lawsuit on the basis that the project had been canceled.",County of Cape May v. United States,U.S. District Court for the District of New Jersey,federal_district,1:23-cv-21201,dismissed,https://www.climatecasechart.com/collections/county-of-cape-may-v-united-states_3878a5,,promoted,"Verified 2026-09-24 by web search: a Sabin Center climate litigation database result names this case, court and docket; opinion text not read. Dismissed as moot after the developer cancelled Ocean Wind 1."
NJ,Six Flags Theme Park Solar Project,solar,REC-0282,contested_project,needs_review,"litigation, organized_group",January 2017,"In January 2017, several local environmental organizations challenged Jackson Township's approval of a 21-MW solar array on 67 acres owned by Six Flags Theme Parks, Inc. in Jackson Township. The plaintiffs alleged that municipal ordinances that allowed the project were invalid and sought to block it.",,,,,,,,needs_docket_research,
NM,Chaves Solar 2 LLC Community Solar Project,solar,REC-0285,contested_project,pending,local_residents,"October 2021, November 2021","In October 2021, the Roswell-Chaves County Exterritorial Zoning Commission voted against a permit for a 5-MW community solar garden. The commission received three protest letters and comments from three other property owners who opposed the project due to concerns about radiation, toxic materials, dust, glare, noise, temperature effects, wildlife effects, and property devaluation. In November 2021, the developer and landowners filed an appeal.",,,,,,,,needs_docket_research,
NV,Angora Solar Project,solar,REC-0255,contested_project,pending,"litigation, regulatory denial","March 21, 2023","On March 21, 2023, the Biden Administration announced the creation of a 450,000-acre Avi Kwa Ame National Monument in the Mojave Desert along the border between California and Nevada to protect an area important to certain Native American tribes. This designation, actively sought by conservation groups, local government officials, and tribal leaders, appears to have derailed plans for the 400-MW Angora Solar Project, which is currently proposed to be built on 2,000 acres within the proposed monument. The developer asked the administration for a carve-out, but it was apparently not granted.",,,,,,,,needs_docket_research,
NV,Bajle Born Solar Project,solar,REC-0256,contested_project,blocked_unverified,"litigation, media campaign",July 2021,"In July 2021, Arevia Power withdrew its application to construct the 850-MW BaWle Born Solar project on the Mormon Mesa in the desert north of Las Vegas. The project would have been the largest ever built in the United States and faced opposition from groups such as Save Our Mesa, who raised concerns about visual impacts and tourism impacts.",,,,,,,,needs_docket_research,
NV,Beajy Energy Center Project,solar;battery_storage,REC-0257,contested_project,pending,"litigation, media campaign",June 2022,"In June 2022, the Bureau of Land Management sided with local opponents of BeaWy Energy Center and two other large solar projects (Bonnie Clare Solar and Sawtooth Energy Center) near Death Valley National Park by giving them “low priority” permitting status. If approved, the projects would collectively generate 3,300 MW of electricity on up to 25,000 acres of land. The Bureau cited proximity to Death Valley National Park and sensitive habitat for the Mojave Desert tortoise as concerns. The projects are opposed by Nevada-based Basin and Range Watch, which thanked BLM for its decision.",,,,,,,,needs_docket_research,
NV,Bonnie Clare Solar Project,solar;battery_storage,REC-0258,contested_project,pending,"litigation, media campaign",June 2022,"In June 2022, the Bureau of Land Management sided with local opponents of Bonnie Clare Solar Project and two other large solar projects (BeaWy Energy Center and Sawtooth Energy Center) near Death Valley National Park by giving them “low priority” permitting status. If approved, the projects would collectively generate 3,300 MW of electricity on up to 25,000 acres of land. The Bureau cited proximity to Death Valley National Park and sensitive habitat for the Mojave Desert tortoise as concerns. The projects are opposed by Nevada-based Basin and Range Watch, which thanked BLM for its decision.",,,,,,,,needs_docket_research,
NV,Clark County Solar Development,solar,REC-0259,contested_project,pending,"litigation, regulatory denial",September 2023,"In September 2023, the organization Western Watersheds Projects sued Secretary of the Interior Deb Haaland, the U.S. Fish and Wildlife Service, Bureau of Land Management, and National Park Service over their approval of large-scale solar development in portions of Clark County that is home to the threatened Mojave Desert tortoise. The organization seeks relief under the Endangered Species Act and National Environmental Policy Act.",Western Watersheds Project v. Haaland,U.S. District Court for the District of Columbia,federal_district,,,https://www.courtlistener.com/opinion/10366230/western-watersheds-project-v-haaland/,,promoted,"Verified 2026-09-24 by web search: a CourtListener result names this case, court; opinion text not read. Filed September 2023 over desert tortoise protections under the Clark County MSHCP; outcome not captured."
NV,Crescent Peak Wind Project,wind,REC-0260,contested_project,blocked_unverified,"litigation, regulatory denial",November 2018,"In November 2018, the Bureau of Land Management rejected an application by Eolus Vind of Sweden to construct a 500-MW, 248-turbine wind farm on 32,531 acres of public land in Nevada. Documents obtained in response to a FOIA request appear to show that Assistant Secretary Joseph Balash decided to terminate the project after conversations with and receiving input from tribal groups, mining groups, fish and wildlife experts, and the military.",,,,,,,,needs_docket_research,
NV,Dixie Valley Geothermal Project,geothermal,REC-0261,contested_project,pending,"litigation, regulatory denial",November 2021,"In November 2021, Ormat Nevada Inc. was approved to construct two 30-MW geothermal plants on federal land in Dixie Valley. In December 2022, the U.S. Fish and Wildlife Service listed the Dixie Valley toad as endangered, prompting the Center for Biological Diversity and Fallon Paiute-Shoshone Tribe to sue the Bureau of Land Management over the project’s approval. In July 2023, the U.S. Department of the Interior announced that it would begin a new environmental analysis of the project in light of the Dixie Valley toad being listed as endangered, halting construction of the project until the completion of the environmental review.",,U.S. District Court for the District of Nevada,federal_district,,,,,lead,Lead from web search 2026-09-24 (not confirmed): Center for Biological Diversity and Fallon Paiute-Shoshone Tribe sued Interior/BLM in D. Nev. on 2021-12-15; Ninth Circuit stayed the injunction; later settlement with Ormat. Caption and docket not confirmed.
NV,Esmeralda Seven Solar Project,solar,REC-0262,contested_project,pending,"litigation, regulatory denial",Proposed in 2024,The proposed Esmeralda Seven project in Nevada would combine 7 projects aggregating to a total of 5.3 GW. Several local community members have expressed opposition to the scale of the project’s impact on the largely undeveloped land in the county.,,,,,,,,needs_docket_research,
NV,Forest Hills Subdivision Wind Turbine,wind,REC-0263,contested_project,blocked_confirmed,"litigation, regulatory denial",2013,"In 2013, the Supreme Court of Nevada upheld a lower court's permanent injunction preventing the construction of a proposed wind turbine on residential property, holding that the turbine would create a nuisance.",Sowers v. Forest Hills Subdivision,Supreme Court of Nevada,state_supreme,58609,ruled_for_opposition,https://law.justia.com/cases/nevada/supreme-court/2013/129-nev-adv-op-no-9.html,,promoted,"Verified 2026-09-24 by web search: a Justia / Casemine result names this case, court and docket; opinion text not read. Decided 2013-02-14: permanent injunction against the turbine affirmed."
NV,Gerlach Geothermal ExploraDon Project,geothermal,REC-0264,contested_project,pending,"litigation, regulatory denial","January 9, 2023","On January 9, 2023, the Burning Man Project and Friends of Nevada Wilderness filed a lawsuit against the federal Bureau of Land Management to stop a geothermal exploration project. In the lawsuit, the plaintiffs allege that the noise, traffic, light, and drilling from the project would be inconsistent with the Burning Man Project’s use of the area during the annual Burning Man festival. On April 3, 2023, the Paiute Tribe of Nevada, Gerlach Preserves Society, and several local residents joined the lawsuit against the project. That same month, the Washoe County Commission voted to overturn a permit that the county had previously approved in January to allow the company to drill up to 13 test wells.",,,,,,,,lead,Lead from web search 2026-09-24 (not confirmed): Burning Man Project sued BLM in January 2023 (NEPA); settled with Ormat October 2024. Court and docket not found in results.
NV,Greenlink West Transmission Project,transmission,REC-0265,contested_project,pending,"litigation, regulatory denial",May 2023,"A proposed 470-mile transmission line that would stretch from Las Vegas to Reno and carry up to 4,000 MW of renewable energy is facing opposition from conservation groups. Opponents of the plan, including the founder of Nevada-based Basin and Range Watch, have raised concerns about a 1.5-mile stretch that crosses through Tule Springs Fossil Beds National Monument, where shallowly buried fossils could be disturbed during construction. In May 2023, the Department of the Interior released a draft environmental impact statement for the project.",,,,,,,,needs_docket_research,
OK,Osage Wind,wind,REC-0363,contested_project,pending,"environmental_group, state_political",,"The Osage Nation has contested a wind farm developed by Enel in Osage County on the basis that the 84-turbine wind farm constitutes a trespass on Osage Nation mineral rights. Beginning in 2014, the federal government and Osage Mineral Council have brought suit against Osage Wind LLC. In 2016, a federal appellate judge held that the Osage Tribe had standing to seek damages for the operation of Osage Wind’s 8,400-acre wind farm and that Enel was unlawfully mining without a mineral permit by gathering and crushing rock to use for the base of its turbines. In January 2019, the U.S. Supreme Court declined to consider an appeal from Osage Wind LLC. The parties were in court again in September 2023, where the Osage Mineral Council and federal government argued that Osage Wind was liable for continued trespass. In December 2023, the U.S. District Court for the Northern District of Oklahoma held that Osage Wind was liable for continued trespass and ordered removal of the wind farm.","United States v. Osage Wind, LLC",U.S. Court of Appeals for the Tenth Circuit,federal_appellate,15-5121,ruled_for_opposition,https://law.justia.com/cases/federal/appellate-courts/ca10/15-5121/15-5121-2017-09-18.html,,promoted,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. Decided 2017-09-18: excavation was mineral development requiring an approved lease."
OR,Beehive Solar Project,solar,REC-0367,contested_project,pending,organized_group,June 2018,"In June 2018, a group called 1,000 Friends of Oregon filed an appeal challenging Clackamas County’s approval of a 73-acre solar project on prime farmland. The County had found that the project would not preclude commercial agriculture because it would house 100 honeybee colonies on site.",,Oregon Land Use Board of Appeals,agency,,,,,lead,Lead from web search 2026-09-24 (not confirmed): 1000 Friends of Oregon appeal to LUBA of Clackamas County approval (2018); settled October 2018 (Capital Press).
OR,Boardman-to-Hemingway Transmission Line,transmission,REC-0368,contested_project,pending,organized_group,"March 9, 2023","The 290-mile Boardman-to-Hemingway (B2H) transmission line, first proposed in 2007, would deliver up to 1,000 MW of renewable energy across eastern Oregon and southwestern Idaho. However, a group called the STOP B2H Coalition has filed at least two lawsuits to stop the project.",Stop B2H Coalition v. Oregon Department of Energy,Supreme Court of Oregon,state_supreme,S069919,ruled_for_developer,https://law.justia.com/cases/oregon/supreme-court/2023/s069919.html,,promoted,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. 2023 (370 Or 792): site certificate affirmed."
OR,Echanis Wind Farm,wind,REC-0369,contested_project,blocked_confirmed,"environmental_group, local_residents",2007,"In 2007, Columbia Energy Partners proposed Echanis Wind Farm, a 104-MW wind farm on approximately 10,500 acres. The project met immediate opposition from the Oregon Natural Desert Association due to its proximity to the federally-protected Steens Mountain.",Oregon Natural Desert Association v. Jewell,U.S. Court of Appeals for the Ninth Circuit,federal_appellate,13-36078,ruled_for_opposition,https://cdn.ca9.uscourts.gov/datastore/opinions/2016/05/26/13-36078.pdf,,promoted,"Verified 2026-09-24 by web search: a ca9.uscourts.gov result names this case, court and docket; opinion text not read. Same case as REC-0375 (Echanis project on Steens Mountain)."
OR,Origis Energy Solar Project,solar,REC-0374,contested_project,pending,"organized_group, local_residents",June 2018,"The group 1,000 Friends of Oregon filed an appeal challenging Jackson County’s approval of an 80-acre solar facility on prime farmland outside of Medford. The state’s Land Use Board of Appeals reversed the decision, siding with the opponents. In June 2018, the Oregon Court of Appeals upheld LUBA’s decision.",1000 Friends of Oregon v. Jackson County,Oregon Court of Appeals,state_appellate,,ruled_for_opposition,https://www.courtlistener.com/opinion/6657003/1000-friends-of-or-v-jackson-cnty/,,promoted,"Verified 2026-09-24 by web search: a CourtListener result names this case, court; opinion text not read. Held the 80-acre solar facility was not 'industrial development'; LUBA's reversal of the county approval stood."
OR,Steens Wind,wind,REC-0375,contested_project,blocked_confirmed,"environmental_group, local_residents",2012,"In 2012, the Portland Audubon Society and Oregon Natural Desert Association filed a lawsuit in federal court to challenge the federal government’s approval of a wind farm on Steens Mountain. The lawsuit cited potential impacts to golden eagles, sage grouse, and bighorn sheep.",Oregon Natural Desert Association v. Jewell,U.S. Court of Appeals for the Ninth Circuit,federal_appellate,13-36078,ruled_for_opposition,https://cdn.ca9.uscourts.gov/datastore/opinions/2016/05/26/13-36078.pdf,,promoted,"Verified 2026-09-24 by web search: a ca9.uscourts.gov result names this case, court and docket; opinion text not read. Decided 2016-05-26: BLM environmental review of the Echanis project held inadequate."
PA,Ralpho Township ban,solar,REC-0379,restriction,,,November 2022,"In November 2022, Ralpho Township adopted a solar ordinance that allows major solar energy systems as a special exception in land zoned for agriculture and forestry, but not in residential areas. In December 2022, the owner of an amusement park who intended to build a 15-acre solar array in a residential district filed a lawsuit challenging the ordinance.",,,,,,,,needs_docket_research,
SC,Gallivants Ferry Solar Project,solar,REC-0396,contested_project,blocked_unverified,"litigation, local_residents",2020,"During meetings in 2020, members of the County Council raised concerns about leaching of cadmium telluride, questioning what would happen if the solar panels were damaged in a hurricane. County Council members also raised concerns about decommissioning and whether landfills would accept solar panels. Although the developer agreed not to use solar panels that include cadmium telluride, the project was never built.",,,,,,,,needs_docket_research,
SC,Runnymeade Solar Project,solar,REC-0397,contested_project,pending,"litigation, local_residents","April 29, 2022","On April 29, 2022, Runnymede LLC submitted an application to build a 2-MW solar system on 44 acres of land zoned for heavy industrial use in the Runnymede subdivision of Sumner City. On May 26, 2022, the local zoning authorities issued a permit. However, on June 27, 2022, the owners of property within the Runnymede subdivision filed an appeal challenging the project. At a meeting on August 10, the Zoning Board of Appeals upheld the permit with three additional conditions, including landscaping requirements.",,,,,,,,needs_docket_research,
SD,Crocker Wind Farm,wind,REC-0403,contested_project,advanced_unverified,local_residents,2017,"In 2017, Geronimo Energy proposed a 400-MW wind farm in Clark County. Public hearings on the project featured significant opposition from local residents. The Clark County Commission approved the project but required that turbines be set back 3,960 feet (0.75 miles) from residences, far more than the 1,000 feet required by the county zoning ordinance. Geronimo Energy challenged the setback requirements in court, but the court ruled in favor of the commission. South Dakota’s Public Utilities Commission granted a construction permit in June 2018. The final project, completed in 2019, was 200 MW, half the size originally proposed.",,"South Dakota Circuit Court, Third Circuit",state_trial,12CIV17-0017,,,,lead,"Lead from web search 2026-09-24 (not confirmed): Crocker Wind Farm, LLC v. Clark County Board of Adjustment, SD Third Circuit Court no. 12CIV17-0017, cited in a PUC docket attachment (https://puc.sd.gov/commission/dockets/electric/2017/EL17-055/comments/attachment1.pdf). Outcome not found."
SD,Crowned Ridge Wind Project,wind,REC-0404,contested_project,pending,litigation,2022,"The Public Utility Commission’s permit for the 132-turbine Crowned Ridge Wind project was appealed by opponents to the South Dakota Supreme Court, which upheld it in 2022. One of the landowners who brought the appeal later filed a suit about the noise level from the operating wind farm. In October 2023, that complaint was dismissed after the plaintiff failed to attend a hearing.","Christenson v. Crowned Ridge Wind, LLC",Supreme Court of South Dakota,state_supreme,29334,ruled_for_developer,https://law.justia.com/cases/south-dakota/supreme-court/2022/29334.html,,promoted,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. 2022: PUC permit affirmed."
TN,Graceland Solar Project,solar,REC-0417,contested_project,pending,"local_residents, organized_group",February 2024,"The Shelby County Board of Commissioners denied the 150-MW Graceland Solar Project in February 2024. The project faced vocal opposition from local residents during previous meetings with the Division of Planning and Development. A Change.org petition also opposed the project, asking Shelby County to deny it.",,,,,,,,needs_docket_research,
TX,Horse Hollow Wind Energy Center,wind,REC-0435,contested_project,advanced_confirmed,"organized_group, local_residents",2005-2008,"POWTL, a group of local residents, sued the wind farm for drastically disrupting the local scenery. The court ruled that no law in Texas regulates aesthetics, prompting the plaintiffs to amend the complaint to assert public and private nuisance claims and seek injunctive relief. In December 2006, a trial jury found against the plaintiffs. The case was dismissed, and the plaintiffs appealed. In August 2008, the Court of Appeals affirmed the judgment of the trial court on all respects except for the allocation of costs and remanded for further determination.","Rankin v. FPL Energy, LLC","Texas Court of Appeals, Eleventh District (Eastland)",state_appellate,,ruled_for_developer,https://www.courtlistener.com/opinion/1665625/rankin-v-fpl-energy-llc/,,promoted,"Verified 2026-09-24 by web search: a CourtListener / Justia result names this case, court; opinion text not read. Decided 2008-08-21: no Texas nuisance claim for aesthetic impact; take-nothing judgment affirmed."
VT,Apple Hill Solar and Willow Road Solar (f/k/a Chelsea Solar),solar,REC-0440,contested_project,pending,"local_residents, organized_group","January 2018, May 2020, June 2019, January 2023, June 2023, July 2023, October 2023, December 2023","Allco Renewable Energy’s plans for the 2-MW Apple Hill project and 2-MW Willow Road project in Bennington, Vermont have faced opposition from neighbors. The state Public Utility Commission initially approved the Apple Hill project in 2018 but reversed its decision on remand in May 2020. In June 2019, the PUC denied a certificate of public good for the Willow Road project due to it being part of a larger solar plant. Legal challenges and opposition continued through multiple decisions and lawsuits.",In re Petition of Apple Hill Solar LLC,Vermont Supreme Court,state_supreme,22-AP-286,ruled_for_opposition,https://law.justia.com/cases/vermont/supreme-court/2023/22-ap-286.html,,promoted,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. 2023: denial of certificate of public good affirmed."
WV,Beech Ridge Wind Farm,wind,REC-0473,contested_project,pending,"local_residents, organized_group",2005-2009,"The Beech Ridge Wind Farm, a 100-MW wind project in Greenbrier County, was met with local opposition when proposed in 2005. Opponents included the Animal Welfare Institute and Mountain Communities for Responsible Energy. The project faced legal challenges before the Public Service Commission (PSC) and federal court. During the lawsuit, construction proceeded on only 40 out of 124 turbines until a decision was made. In 2009, a federal district court imposed severe restrictions on the project.",Animal Welfare Institute v. Beech Ridge Energy LLC,U.S. District Court for the District of Maryland,federal_district,8:09-cv-01519,ruled_for_opposition,https://dockets.justia.com/docket/maryland/mddce/8:2009cv01519/169229,,promoted,"Verified 2026-09-24 by web search: a Justia dockets result names this case, court and docket; opinion text not read. Decided 2009-12-08: ESA injunction limiting turbine operation absent an incidental take permit."
WV,Mount Storm Wind Project,wind,REC-0474,contested_project,needs_review,litigation,2005-2007,"In 2005, landowners in Grant County filed a nuisance lawsuit against Shell WindEnergy, Inc. and NedPower for their planned wind power project. The trial court dismissed the action, but the West Virginia Supreme Court reversed on appeal in June 2007, remanding the case back to the lower court. Despite legal challenges, the 264-MW Mount Storm Wind Project was completed in 2008.","Burch v. NedPower Mount Storm, LLC",Supreme Court of Appeals of West Virginia,state_supreme,33201,ruled_for_opposition,https://www.courtlistener.com/opinion/1406402/burch-v-nedpower-mount-storm-llc/,,promoted,"Verified 2026-09-24 by web search: a CourtListener / courtswv.gov result names this case, court and docket; opinion text not read. Decided 2007-06-08: reversed dismissal of neighbors' nuisance claim and remanded."
WY,Pioneer Wind Parks I and II,wind,REC-0493,contested_project,needs_review,"local_residents, organized_group",2011,"In 2011, Wasatch Wind proposed a 66-turbine wind farm in Converse County. Local residents formed the Northern Laramie Range Alliance (NLRA) to oppose the project due to concerns about scenic impacts and property values. The NLRA advocated for zoning regulations that would prohibit development above an elevation of 6,000 feet. Despite these efforts, the project was eventually approved in 2016.",Northern Laramie Range Foundation v. Converse County Board of County Commissioners,Supreme Court of Wyoming,state_supreme,S-12-0060,ruled_for_developer,https://law.justia.com/cases/wyoming/supreme-court/2012/s-12-0060.html,,promoted,"Verified 2026-09-24 by web search: a Justia result names this case, court and docket; opinion text not read. Decided 2012-12-14: WECS permit upheld."
WY,Rail Tie Wind Project,wind,REC-0494,contested_project,pending,"local_residents, organized_group",February 2020,"The Rail Tie Wind Project is a 504-MW wind farm proposed by ConnectGen (acquired by Repsol in March 2024) on 26,000 acres. Local residents opposed the project due to concerns about aesthetic changes, wildlife impacts, and groundwater contamination. The project faced legal challenges, including a moratorium request and setbacks advocacy. Despite these efforts, the project was eventually approved in July 2021. Legal challenges continued, with a lawsuit filed in December 2024.",,Supreme Court of Wyoming,state_supreme,,,,,lead,Lead from web search 2026-09-24 (not confirmed): Wyoming Supreme Court upheld Albany County's WECS permit in April 2023 (Wyoming Public Media); a 2024 Industrial Siting Council appeal was dismissed. Caption not found.
WY,Rock Creek Gen-Tie Line,transmission,REC-0495,contested_project,pending,organized_group,July 2023,"In July 2023, the Albany County Conservancy challenged the Bureau of Land Management’s approval of a transmission line designed to connect a proposed wind project. The complaint alleged that public input was not sought and that the environmental impact analysis was inadequate. If approved, the transmission line would support an additional 590 MW of electricity.",,U.S. District Court for the District of Wyoming,federal_district,,,,,lead,"Lead from web search 2026-09-24 (not confirmed): Albany County Conservancy complaint against BLM, D. Wyo., July 2023; BLM withdrew the right-of-way decision (remand without vacatur)."
